Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
17,12,Mottd,1,TRUE,TRUE,TRUE,400,SE,"7,8 minutes plus."
18,12,Mottd,2,FALSE,FALSE,TRUE,300,SW,9 minutes plus.
19,13,PacSc,1,FALSE,TRUE,TRUE,20,SE,6 minutes plus. Recorded.
20,13,Mottd,2,FALSE,FALSE,TRUE,200,NE,8 minutes.
21,13,Mottd,3,FALSE,FALSE,TRUE,200,SE,9 minutes.
22,14,Mottd,1,TRUE,TRUE,FALSE,400,SW,
24,15,PacSc,1,TRUE,TRUE,TRUE,200,SW,6 minutes plus.
25,16,Mottd,1,FALSE,FALSE,TRUE,300,SE,6 to 9 minutes.
26,18,Mottd,1,FALSE,FALSE,TRUE,20,NW,9 minutes plus.  Heard it land on tree on hillside.  Mt. de Rancho Quamato.
27,19,Mottd,1,FALSE,TRUE,FALSE,200,S,
28,19,Mottd,2,FALSE,FALSE,TRUE,300,NE,11 minutes.
29,21,Mottd,1,FALSE,TRUE,FALSE,400,S,
31,22,Mottd,1,FALSE,TRUE,TRUE,100,S,12 min. plus
32,22,Mottd,2,FALSE,FALSE,TRUE,200,S,8 min . Plus - heard during broadcast
33,23,Mottd,1,FALSE,FALSE,TRUE,500,E,6 min plus
34,23,Mottd,2,FALSE,FALSE,TRUE,200,N,7 min. plus
35,23,Mottd,3,FALSE,FALSE,TRUE,200,NE,8 min plus
36,24,Mottd,1,FALSE,FALSE,TRUE,300,W,8 min.
37,24,PacSc,2,FALSE,FALSE,TRUE,30,SE,9 min. plus
38,24,PacSc,3,FALSE,FALSE,TRUE,30,SE,10 min - recorded the 2 Screech Owls
39,24,FerPy,4,FALSE,FALSE,TRUE,500,S,12 Min.
40,25,PacSc,1,TRUE,TRUE,TRUE,200,W,10 min; 11 min. plus (moved closer to 150 meters West);Can see lightening; Pucuyos & muyos
42,26,Mottd,1,FALSE,FALSE,TRUE,500,SW,8 min.and 11 min.
43,27,Mottd,1,FALSE,TRUE,TRUE,400,SE,6 min. plus; oww cat like vocalization
44,27,Mottd,2,FALSE,FALSE,TRUE,400,SE,11 min.
45,28,Mottd,1,TRUE,TRUE,FALSE,50,E,Recorded
46,28,Mottd,2,TRUE,TRUE,FALSE,75,SE,
47,30,Mottd,1,FALSE,FALSE,TRUE,50,E,8 min. plus
48,30,Mottd,2,FALSE,FALSE,TRUE,75,E,9 min. plus
49,33,Mottd,1,FALSE,FALSE,TRUE,950,E,7 Min. - rougher vocalization than other Mottled Owl
