Stations_ID,Survey_ID,Station,Station_Start_Time,Temperature,Barometer,Fog,Wind_Speed,Broadcast_Species,Background_Noise,Station_Comments
12,11,EI1.1,18:30:00,28,34.94,0,0,Pacific Screech Owl,2,Cicadas.
13,11,EI1.2,18:58:00,27,34.94,0,0,Mottled Owl,0,
14,11,EI1.3,19:16:00,27,34.94,0,0,Crested Owl,2,Cicadas.
15,11,EI1.4,19:36:00,27,34.96,0,0,Black and White Owl,0,
16,11,EI1.5,19:55:00,26,34.96,0,0,Spectacled Owl,0,Falda de Mt. de Guyuval.
17,11,EI1.6,20:18:00,27,34.85,0,0,Pacific Screech Owl,1,Muous.
18,11,EI1.7,20:38:00,26,34.84,0,0,Mottled Owl,0,Mottled owl on way from point 6 to 7.
19,11,EI1.8,21:02:00,26,34.79,0,0,Crested Owl,0,Road.
20,11,EI1.9,21:27:00,25,34.78,0,0,Black and White Owl,0,Road.
21,11,EI1.10,21:52:00,26,34.59,0,0,Spectacled Owl,0,Road
22,13,EI1.1,18:28:00,27,34.98,0,0,Pacific Screech Owl,2,Cicadas;5-6:30 pm at pt.1 & no Fer. Pygmy Owl vocalizations - usually hear
23,13,EI1.2,18:47:00,26,34.94,0,0,Mottled Owl,0,Caballero & cicadas;moonlight can see well
24,13,EI1.3,19:04:00,26,35.01,0,0,Crested Owl,0,Pucuyo; all of a sudden got dark-clouds&can hear thunder
25,13,EI1.4,19:32:00,26,34.99,0,0,Black and White Owl,0,Pacific Screech Owl on path to pt. 4 ~ 5 m. from path -only vocalized once & not record
26,13,EI1.5,19:51:00,26,34.93,0,0,Spectacled Owl,0,looks like rain in clouds; can see a few stars
27,13,EI1.6,20:12:00,26,34.88,0,0,Pacific Screech Owl,0,Muyuo
28,13,EI1.7,20:38:00,26,34.85,0,0,Mottled Owl,0,Heard Micoleon just as leaving point.
29,13,EI1.8,21:13:00,25,34.85,0,0,Crested Owl,0,
30,13,EI1.9,21:31:00,26,34.72,0,0,Black and White Owl,0,Muyo
31,13,EI1.10,21:52:00,26,34.68,0,0,Spectacled Owl,0,
32,14,EI2.1,18:52:00,25,33.19,75,0,Pacific Screech Owl,0,
33,14,EI2.2,19:09:00,23,0,75,0,Mottled Owl,0,
34,14,EI2.3,19:27:00,23,0,75,0,Crested Owl,0,
35,14,EI2.4,19:46:00,23,33.38,0,0,Black and White Owl,0,
36,14,EI2.5,20:08:00,24,0,0,0,Spectacled Owl,0,Can see by light of moon
37,14,EI2.6,20:24:00,24,33.46,0,0,Pacific Screech Owl,0,
38,14,EI2.7,20:48:00,24,33.53,0,0,Mottled Owl,0,
39,14,EI2.8,21:09:00,24,33.59,0,0,Crested Owl,1,dogs barking; Micleon at 2119hrs.
40,14,EI2.9,21:31:00,23,33.83,0,0,Black and White Owl,0,
41,14,EI2.10,21:53:00,24,33.85,0,0,Spectacled Owl,0,Muyuos (2 different vocalizations)
42,15,EI2.1,18:33:00,25,33.18,0,0,Pacific Screech Owl,0,Dogs Naranjito; clear - lots of moon light
43,15,EI2.2,18:48:00,23,33.18,0,0,Mottled Owl,0,Dogs Naranjito
44,15,EI2.3,19:03:00,23,33.24,0,0,Crested Owl,0,Dogs Naranjito
45,15,EI2.4,19:18:00,22,33.32,0,0,Black and White Owl,0,
46,15,EI2.5,19:36:00,22,33.39,0,0,Spectacled Owl,0,
47,15,EI2.6,19:52:00,24,33.48,0,0,Pacific Screech Owl,0,
48,15,EI2.7,20:18:00,23,33.59,0,0,Mottled Owl,0,Micoleon
49,15,EI2.8,20:34:00,23,33.64,0,0,Crested Owl,0,
50,15,EI2.9,20:57:00,23,33.71,0,0,Black and White Owl,0,
51,15,EI2.10,21:20:00,23,33.95,0,0,Spectacled Owl,0,
52,16,N1.1,19:00:00,30,37.14,0,0,Pacific Screech Owl,2,Pucuyos at river area; loud frogs in river; urone -same family as tasquisine; burn area
53,16,N1.2,19:18:00,29,0,0,0,Mottled Owl,2,Pucuyos &  loud frogs in river area; burn area
54,16,N1.3,19:34:00,28,0,0,0,Crested Owl,2,Loud frogs in river area; burn area
55,16,N1.4,19:49:00,28,37.18,0,0,Black and White Owl,2,Guase 1951 hrs. - 200 m. south; burn area
56,16,N1.5,20:09:00,28,37.19,0,0,Spectacled Owl,2,pucyos; out of burn area
57,16,N1.6,20:27:00,28,37.2,0,0,Pacific Screech Owl,0,recorded pucuyos
58,16,N1.7,20:44:00,28,37.22,0,0,Mottled Owl,0,pucuyo
59,16,N1.8,21:01:00,27,37.23,0,0,Crested Owl,0,two chacalacas
60,16,N1.9,21:18:00,27,0,0,0,Black and White Owl,0,
61,16,N1.10,21:33:00,27,37.25,0,0,Spectacled Owl,0,people camping on river
62,17,N1.1,18:45:00,30,37.11,0,0,Pacific Screech Owl,1,"Frogs loud, Pucuyos; burn area"
63,17,N1.2,19:02:00,28,37.13,0,0,Mottled Owl,1,Frogs loud; burn area
